"driver_id","driver_name","overall_on_time_rate","overall_mpg","revenue_per_mile"
"DRV00120","Jessica Johnson",0.5015,6.4717,2.1492
"DRV00020","Joseph Martinez",0.4870,6.4766,2.1402
"DRV00138","Jennifer Thomas",0.4847,6.4589,2.1305
"DRV00100","Jennifer Martinez",0.4842,6.4373,2.1465
"DRV00022","Charles Moore",0.4817,6.4531,2.1578
"DRV00108","Joseph Jones",0.4816,6.4573,2.1532
"DRV00113","Mary Williams",0.4798,6.3779,2.1221
"DRV00112","Jennifer Miller",0.4786,6.4810,2.1562
"DRV00036","Michael Thomas",0.4784,6.4850,2.1415
"DRV00104","Richard Hernandez",0.4766,6.4384,2.1548
"DRV00088","Joseph Garcia",0.4727,6.4372,2.1657
"DRV00029","James Martin",0.4715,6.4124,2.1693
"DRV00060","Jessica Thomas",0.4713,6.4066,2.1570
"DRV00126","Sarah Jackson",0.4665,6.4321,2.1457
"DRV00141","Thomas Wilson",0.4663,6.4991,2.1600
"DRV00091","Linda Rodriguez",0.4662,6.4673,2.1816
"DRV00035","Michael Taylor",0.4657,6.4697,2.1246
"DRV00023","David Smith",0.4647,6.4990,2.1387
"DRV00080","Richard Martin",0.4626,6.4453,2.1402
"DRV00001","Jennifer Hernandez",0.4620,6.4285,2.1346
"DRV00110","James Gonzalez",0.4617,6.4340,2.1194
"DRV00099","Michael Williams",0.4614,6.4602,2.1759
"DRV00081","Joseph Hernandez",0.4610,6.4994,2.1420
"DRV00089","David Thomas",0.4609,6.4661,2.1461
"DRV00002","William Martin",0.4607,6.4341,2.1984
"DRV00139","Sarah Davis",0.4605,6.4317,2.1317
"DRV00057","Thomas Jackson",0.4598,6.4995,2.1771
"DRV00085","Linda Wilson",0.4594,6.4555,2.1557
"DRV00114","Thomas Wilson",0.4584,6.4027,2.1416
"DRV00148","Patricia Anderson",0.4581,6.4414,2.1585
"DRV00083","Patricia Martin",0.4580,6.4535,2.1477
"DRV00107","Charles Jones",0.4576,6.4855,2.1531
"DRV00039","Thomas Martinez",0.4575,6.5001,2.1535
"DRV00017","William Garcia",0.4571,6.4463,2.1424
"DRV00030","Jessica Hernandez",0.4568,6.4146,2.1602
"DRV00147","Richard Garcia",0.4567,6.4372,2.1711
"DRV00063","James Jones",0.4563,6.4527,2.1215
